TIME,VP,RHOB,DT,AI, 
0.6299433,3116.0453,2316.1209,320.93067,7217200.2,
0.630042,3088.1469,2310.9267,323.81879,7136481.2,
0.63014132,3077.5675,2308.9455,324.93112,7105931.2,
0.63024064,3069.4855,2307.4276,325.7875,7082615.5,
0.63034056,3057.9481,2305.2554,327.01795,7049358.4,
0.63044049,3051.0513,2303.9553,327.75587,7029486,
0.63054017,3053.0899,2304.3401,327.5371,7035358.1,
0.63063986,3057.172,2305.1101,327.09968,7047118.3,
0.63073913,3063.0267,2306.2127,326.47477,7063992.8,
0.63083839,3069.4863,2307.4277,325.78741,7082618,
0.63093739,3073.5956,2308.1998,325.35155,7094471.6,
0.63103639,3078.7873,2309.1738,324.8032,7109455.3,
0.6311342,3099.5388,2313.0486,322.63813,7169436.8,
0.63123201,3116.5649,2316.2249,320.86609,7218665,
0.63132991,3115.7217,2316.0682,320.95291,7216224,
0.63142781,3113.3814,2315.6334,321.19418,7209449.8,
0.63152733,3088.326,2310.9478,323.81878,7137063.6,
0.63162686,3063.316,2306.2673,326.44363,7064825.4,
0.63172643,3061.0544,2305.8416,326.68481,7058306.4,
0.63182599,3060.2415,2305.6885,326.77161,7055963.5,
0.63192341,3094.8054,2312.1445,323.1624,7155860.2,
0.63202083,3129.3635,2318.5994,319.5538,7255740,
0.63211912,3118.3778,2316.5596,320.68279,7223926.2,
0.6322174,3100.7122,2313.274,322.50656,7172796.9,
0.63231649,3089.2259,2311.1294,323.70442,7139593.7,
0.63241558,3075.6823,2308.5912,325.1311,7100493.2,
0.63251661,3044.3263,2302.6738,328.49646,7010178.9,
0.63261764,3017.8227,2297.6566,331.36473,6933920.4,
0.63271892,3011.4181,2296.4366,332.06942,6915530.7,
0.63282021,3008.8843,2295.9534,332.3491,6908258,
0.63291959,3031.9759,2300.3348,329.83479,6974649.1,
0.63301898,3066.3994,2306.8474,326.11537,7073715.9,
0.63311721,3084.672,2310.2785,324.18045,7126434.5,
0.63321543,3103.8699,2313.8626,322.17845,7181928.5,
0.63331142,3145.5709,2321.5782,317.93263,7302834.1,
0.63340741,3175.0002,2327.0066,314.96061,7388246.5,
0.63350492,3154.7611,2323.2812,316.99312,7329466,
0.63360243,3126.1545,2318.0048,319.88182,7246441,
0.63370072,3109.2531,2314.8645,321.62193,7197506.7,
0.633799,3100.7119,2313.2739,322.50659,7172796,
0.63389653,3109.4648,2314.9037,321.60027,7198120,
0.63399406,3126.1553,2318.0049,319.88173,7246443.4,
0.63409026,3151.2522,2322.6374,317.34254,7319264.4,
0.63418646,3168.3992,2325.7961,315.61681,7369050.5,
0.63428457,3140.3275,2320.6103,318.46312,7287619.1,
0.63438267,3107.0331,2314.4518,321.85045,7191078.5,
0.63448114,3100.3519,2313.2072,322.5433,7171752.1,
0.6345796,3094.4155,2312.0986,323.16279,7154593.9,
0.63467911,3079.5085,2309.3072,324.72993,7111546.4,
0.63477861,3063.3165,2306.2674,326.44357,7064827,
0.63487872,3051.2512,2303.9925,327.73522,7030064.3,
0.63497882,3044.9558,2302.8037,328.41199,7011935.5,
0.63507812,3052.5348,2304.235,327.59709,7033760.3,
0.63517742,3069.4846,2307.4274,325.78759,7082613,
0.63527423,3113.8038,2315.6854,321.18957,7210809.1,
0.63537104,3148.7605,2322.1838,317.58528,7312001,
0.63546796,3147.9083,2322.0267,317.67124,7309527.2,
0.63556487,3145.5106,2321.5844,317.91341,7302568.6,
0.63566375,3121.2639,2317.0893,320.39521,7232316.2,
0.63576263,3081.9002,2309.7572,324.47513,7118441.7,
0.63586384,3038.5454,2301.5773,329.12546,6993556.8,
0.63596505,3011.8577,2296.5203,332.02101,6916792,
0.63606333,3056.2795,2304.8961,327.26436,7044778.8,
0.63616162,3100.7119,2313.2739,322.50659,7172796,
0.63626151,3080.5861,2309.5028,324.62587,7114689.6,
0.6363614,3051.0528,2303.9556,327.75571,7029490.4,
0.63646233,3034.3149,2300.7895,329.56337,6981318.1,
0.63656326,3020.8109,2298.2251,331.03695,6942503.4,
0.63666485,3007.3217,2295.6545,332.52307,6903778.1,
0.63676645,3000.0002,2294.2568,333.3333,6882771,
0.63686732,3010.4077,2296.2414,332.1849,6912643.2,
0.6369682,3020.812,2298.2253,331.03683,6942506.5,
0.63706979,3013.1617,2296.7679,331.87889,6920541.3,
0.63717139,3000.0003,2294.2568,333.33329,6882771.2,
0.63727381,2985.5261,2291.4829,334.95179,6841294.6,
0.63737624,2976.5623,2289.7625,335.95803,6815620.5,
0.63747783,2985.5232,2291.4823,334.95212,6841286.2,
0.63757943,2999.9995,2294.2567,333.33339,6882768.8,
0.63768033,3013.162,2296.768,331.87886,6920542,
0.63778122,3020.812,2298.2253,331.03683,6942506.5,
0.63788255,3017.0246,2297.5045,331.45257,6931628.4,
0.63798387,3008.8837,2295.9533,332.34916,6908256.3,
0.63808624,2994.5394,2293.2106,333.94332,6867120.6,
0.63818861,2976.5617,2289.7623,335.9581,6815618.8,
0.63829214,2956.7468,2285.9394,338.21373,6758965.1,
0.63839567,2944.927,2283.6541,339.56699,6725194.5,
0.63849664,2979.9903,2290.3918,335.61789,6825581,
0.6385976,3017.8219,2297.6565,331.36482,6933918.1,
0.63869839,3022.1983,2298.489,330.88493,6946489.4,
0.63879918,3023.8091,2298.7952,330.70872,6951117.5,
0.63890199,2994.4027,2293.165,333.98865,6866825.2,
0.63900481,2964.9802,2287.5317,337.27038,6782486.5,
0.63910651,2981.0149,2290.6121,335.46592,6828398.6,
0.63920821,2997.0503,2293.6926,333.66139,6874312.5,
0.63931121,2978.1321,2290.0558,335.79448,6820157.6,
0.6394142,2959.2231,2286.4207,337.92653,6766029,
0.63951711,2959.9744,2286.5658,337.84075,6768175.9,
0.63962001,2962.0994,2286.9761,337.5984,6774250.1,
0.6397208,2989.704,2292.2699,334.50587,6853334.1,
0.63982159,3023.8089,2298.7951,330.70874,6951116.9,
0.63992169,3038.319,2301.5476,329.12982,6992837.9,
0.64002179,3044.9558,2302.8037,328.41199,7011935.5,
0.64012189,3044.9558,2302.8037,328.41199,7011935.5,
0.640222,3044.9558,2302.8037,328.41199,7011935.5,
0.6403231,3029.8958,2299.9458,330.0525,6968639.3,
0.64042421,3014.8369,2297.0881,331.69289,6925346.5,
0.64052533,3014.8369,2297.0881,331.69289,6925346.5,
0.64062644,3014.8369,2297.0881,331.69289,6925346.5,
0.64072833,3006.3994,2295.4781,332.62556,6901133.3,
0.64083022,2991.1671,2292.5661,334.31767,6857448.4,
0.64093322,2971.7958,2288.842,336.50203,6801997.4,
0.64103621,2959.2232,2286.4207,337.92652,6766029.1,
0.64113882,2962.7772,2287.1067,337.52128,6776188.1,
